1.1.1;This command enables the AAA access control system.;"aaa new-model"
1.1.2;Sets authentication, authorization and accounting (AAA) authentication at login;"aaa authentication login default local"
1.1.3;Authenticates users using the serial console port;"line con 0
 login authentication console"
1.1.4;Authenticates users through the VTY port;"line vty 0 4
 login authentication radius-login
line vty 5 15
 login authentication radius-login
"
1.1.5;Test ACL checking;"ip access-list extended LAB
 permit ip host 10.0.0.1 any
 permit ip any host 10.0.0.1
"
1.1.6;Checking source address in Network Time Protocol (NTP) packets;ntp source [vV]lan\s?\d+
